Timestamp;ts
2019-04-14 08:00:00;0.24
2019-04-14 20:00:00;0.08
2019-04-15 08:00:00;0.08
2019-04-15 20:00:00;0.11
2019-04-16 08:00:00;0.07
2019-04-16 20:00:00;0.05
2019-04-17 08:00:00;0.07
2019-04-17 20:00:00;0.08
2019-04-18 08:00:00;0.07
2019-04-18 20:00:00;0.02
2019-04-19 08:00:00;0.03
2019-04-19 20:00:00;0.03
2019-04-20 08:00:00;0.02
2019-04-20 20:00:00;0.05
2019-04-21 08:00:00;0.1
2019-04-21 20:00:00;0.04
2019-04-22 08:00:00;0.08
2019-04-22 20:00:00;0.08
2019-04-23 08:00:00;0.1
2019-04-23 20:00:00;0.17
2019-04-24 08:00:00;0.14
2019-04-24 20:00:00;0.11
2019-04-25 08:00:00;0.17
2019-04-25 20:00:00;0.29
2019-04-26 08:00:00;0.28
2019-04-26 20:00:00;0.19
2019-04-27 08:00:00;0.26
2019-04-27 20:00:00;0.17
2019-04-28 08:00:00;0.21
2019-04-28 20:00:00;0.35
2019-04-29 08:00:00;0.19
2019-04-29 20:00:00;0.26
2019-04-30 08:00:00;0.26
2019-04-30 20:00:00;0.28
2019-05-01 08:00:00;0.26
2019-05-01 20:00:00;0.22
2019-05-02 08:00:00;0.27
2019-05-02 20:00:00;0.27
2019-05-03 08:00:00;0.23
2019-05-03 20:00:00;0.24
2019-05-04 08:00:00;0.14
2019-05-04 20:00:00;0.18
2019-05-05 08:00:00;0.18
2019-05-05 20:00:00;0.31
2019-05-06 08:00:00;0.2
2019-05-06 20:00:00;0.2
2019-05-07 08:00:00;0.3
2019-05-07 20:00:00;0.19
2019-05-08 08:00:00;0.36
2019-05-08 20:00:00;0.14
2019-05-09 08:00:00;0.18
2019-05-09 20:00:00;0.21
2019-05-10 08:00:00;0.11
2019-05-10 20:00:00;0.33
2019-05-11 08:00:00;0.16
2019-05-11 20:00:00;0.13
2019-05-12 08:00:00;0.25
2019-05-12 20:00:00;0.17
2019-05-13 08:00:00;0.24
2019-05-13 20:00:00;0.4
2019-05-14 08:00:00;0.42
2019-05-14 20:00:00;0.47
2019-05-15 08:00:00;0.33
2019-05-15 14:45:00;0.39
2019-05-15 20:00:00;0.41
2019-05-16 08:00:00;0.5
2019-05-16 20:00:00;0.49
2019-05-17 08:00:00;0.5
2019-05-17 20:00:00;0.41
2019-05-18 08:00:00;0.5
2019-05-18 10:40:00;0.5
2019-05-18 20:00:00;0.5
2019-05-19 02:45:00;0.5
2019-05-19 08:00:00;0.5
2019-05-19 14:15:00;0.48
2019-05-19 20:00:00;0.48
2019-05-20 08:00:00;0.48
2019-05-20 20:00:00;0.5
2019-05-21 08:00:00;0.5
2019-05-21 20:00:00;0.48
2019-05-22 08:00:00;0.43
2019-05-22 20:00:00;0.36
2019-05-23 08:00:00;0.36
2019-05-23 20:00:00;0.42
2019-05-24 08:00:00;0.28
2019-05-24 20:00:00;0.34
2019-05-25 08:00:00;0.43
2019-05-25 20:00:00;0.22
2019-05-26 08:00:00;0.34
2019-05-26 20:00:00;0.17
2019-05-27 08:00:00;0.2
2019-05-27 20:00:00;0.15
2019-05-28 08:00:00;0.16
2019-05-28 20:00:00;0.21
2019-05-29 08:00:00;0.37
2019-05-29 12:05:00;0.32
2019-05-29 20:00:00;0.2
2019-05-30 08:00:00;0.23
2019-05-30 20:00:00;0.11
2019-05-31 08:00:00;0.24
2019-05-31 20:00:00;0.21
2019-06-01 09:35:00;0.28
2019-06-02 10:50:00;0.18
2019-06-03 09:40:00;0.2
2019-06-04 09:30:00;0.15
2019-06-04 20:50:00;0.22
2019-06-05 09:25:00;0.3
2019-06-05 21:40:00;0.2
2019-06-06 09:40:00;0.28
2019-06-06 21:40:00;0.11
2019-06-07 08:40:00;0.21
2019-06-07 21:15:00;0.3
2019-06-08 08:45:00;0.39
2019-06-08 22:00:00;0.25
2019-06-09 09:15:00;0.19
2019-06-09 21:45:00;0.25
2019-06-10 09:30:00;0.28
2019-06-10 22:30:00;0.2
2019-06-11 09:30:00;0.25
2019-06-11 20:15:00;0.22
2019-06-12 10:10:00;0.43
2019-06-12 20:50:00;0.24
2019-06-13 08:40:00;0.3
2019-06-13 22:15:00;0.25
2019-06-14 09:55:00;0.26
2019-06-15 00:30:00;0.21
2019-06-15 10:10:00;0.21
2019-06-15 23:05:00;0.27
2019-06-16 08:55:00;0.39
2019-06-16 22:10:00;0.26
2019-06-17 09:50:00;0.4
2019-06-17 22:50:00;0.19
2019-06-18 09:40:00;0.22
2019-06-18 20:10:00;0.28
2019-06-19 08:40:00;0.19
2019-06-19 20:05:00;0.17
2019-06-20 09:10:00;0.19
2019-06-20 22:25:00;0.18
2019-06-21 10:05:00;0.22
2019-06-21 20:30:00;0.28
2019-06-22 09:00:00;0.21
2019-06-22 22:05:00;0.21
2019-06-23 08:55:00;0.23
2019-06-23 22:50:00;0.13
2019-06-24 08:35:00;0.08
2019-06-24 20:20:00;0.11
2019-06-25 08:25:00;0.07
2019-06-25 22:25:00;0.13
2019-06-26 09:35:00;0.1
2019-06-26 21:45:00;0.1
2019-06-27 09:05:00;0.14
2019-06-27 21:25:00;0.08
2019-06-28 09:00:00;0.15
2019-06-28 22:30:00;0.05
2019-06-29 09:05:00;0.09
2019-06-29 22:10:00;0.06
2019-06-30 09:35:00;0.1
2019-06-30 21:15:00;0.15
2019-07-01 09:30:00;0.22
2019-07-01 20:55:00;0.09
2019-07-02 08:50:00;0.19
2019-07-02 21:25:00;0.14
2019-07-03 09:45:00;0.32
2019-07-03 21:25:00;0.19
2019-07-04 09:00:00;0.36
2019-07-04 20:25:00;0.1
2019-07-05 09:40:00;0.24
2019-07-05 20:15:00;0.26
2019-07-06 09:00:00;0.31
2019-07-07 00:25:00;0.16
2019-07-07 09:35:00;0.19
2019-07-07 21:15:00;0.08
2019-07-08 09:10:00;0.31
2019-07-08 22:00:00;0.17
2019-07-09 09:05:00;0.25
2019-07-09 21:00:00;0.08
2019-07-10 08:50:00;0.14
2019-07-10 23:50:00;0.14
2019-07-11 08:50:00;0.09
2019-07-11 23:00:00;0.05
2019-07-12 09:10:00;0.06
2019-07-12 22:20:00;0.05
2019-07-13 08:50:00;0.05
2019-07-13 23:10:00;0.03
2019-07-14 09:45:00;0.02
2019-07-14 22:45:00;0.02
2019-07-15 09:05:00;0.02
2019-07-15 20:30:00;0.02
2019-07-16 08:40:00;0.01
2019-07-16 20:20:00;0.01
2019-07-17 08:15:00;0.02
2019-07-17 22:50:00;0.03
2019-07-18 08:55:00;0.04
2019-07-18 20:40:00;0.02
2019-07-19 08:55:00;0.03
2019-07-19 20:10:00;0.03
2019-07-20 08:25:00;0.02
2019-07-20 20:15:00;0.03
2019-07-21 08:25:00;0.13
2019-07-21 20:10:00;0.03
2019-07-22 08:10:00;0.07
2019-07-22 20:15:00;0.07
2019-07-23 08:25:00;0.23
2019-07-23 22:40:00;0.02
2019-07-24 08:25:00;0.08
2019-07-25 01:20:00;0.05
2019-07-25 08:10:00;0.13
2019-07-26 01:55:00;0.13
2019-07-26 08:25:00;0.15
2019-07-26 20:10:00;0.11
2019-07-27 08:20:00;0.07
2019-07-27 20:10:00;0.25
2019-07-28 08:25:00;0.29
2019-07-28 22:20:00;0.07
2019-07-29 08:25:00;0.17
2019-07-29 20:15:00;0.16
2019-07-30 08:30:00;0.27
2019-07-30 20:10:00;0.13
2019-07-31 08:35:00;0.14
2019-07-31 20:05:00;0.05
